"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"86.90.1","86901","Q","Starfsemi sjúkraþjálfara",,,
"86.90.2","86902","Q","Starfsemi sálfræðinga",,,
"86.90.3","86903","Q","Rannsóknarstofur í læknisfræði","Til þessarar greinar teljast: - Rannsóknarstofur í læknisfræði, s.s. röntgenrannsóknarstofur og rannsóknarstofur til blóðgreininga",,"Til þessarar greinar teljast ekki: - Tæknilegar prófanir og greiningar sem ekki eru af læknisfræðilegum toga, sjá 71.20 - Prófanir á sviði hollustuhátta í matvælaframleiðslu, sjá 71.20"
"86.90.9","86909","Q","Önnur ótalin heilbrigðisþjónusta","Til þessarar greinar telst: - Öll önnur heilbrigðisþjónusta sem fer ekki fram á sjúkrahúsum eða undir handleiðslu læknis eða tannlæknis, s.s. starfsemi hjúkrunarfræðinga, ljósmæðra, eða annarra aðila sem veita skylda þjónustu á sviði sjónmælinga, vatnslæ","Til þessarar greinar telst einnig: - Starfsemi aðila sem veita skylda þjónustu og tannlæknar, s.s. tannfræðingar sem geta unnið fjarri tannlæknum en eru háðir reglubundnu eftirliti þeirra - Blóðbankar, sæðisbankar, líffærabankar o.þ.h. - Sjúkraflutning","Til þessarar greinar telst ekki: - Framleiðsla á gervitönnum, gervigómum og hjálpartækjum hjá tannsmiðum, sjá 32.50 - Sjúkrahús, sjá 86.10 - Læknis- og tannlæknisþjónusta, sjá 86.2"
"87.10.0","87100","Q","Dvalarheimili með hjúkrun","Til þessarar greinar teljast: - Elliheimili með hjúkrun - Hressingarhæli með hjúkrun - Hvíldarheimili með hjúkrun - Hjúkrunarheimili",,"Til þessarar greinar telst ekki: - Heimahjúkrun, sjá deild 86 - Elliheimili með lágmarks- eða enga hjúkrun, sjá 87.30.1 - Félagsþjónusta með gistiaðstöðu, sjá 87.90"
"87.20.0","87200","Q","Dvalarheimili á sviði þroskahömlunar, geðheilbrigðis og vímuefnamisnotkunar","Til þessarar greinar telst umönnun fólks á dvalarstofnunum (en ekki hjúkrun á sjúkrahúsum) sem er með þroskahömlun, þjáist af geðsjúkdómum eða misnotar vímuefni.  Stofnanirnar bjóða upp á gistingu, mat, gæslu og ráðgjöf og einhverja heilbrigðisþjónustu.  ",,"Til þessarar greinar teljast ekki: - Geðsjúkrahús, sjá 86.10 - Félagsþjónusta með gistiaðstöðu, s.s. athvarf fyrir heimilislausa, sjá 87.90"
"87.30.1","87301","Q","Dvalarheimili fyrir aldraða","Til þessarar greinar teljast: - Elliheimili með lágmarkshjúkrun - Þjónustuíbúðir - Hvíldarheimili fyrir aldraða án hjúkrunar",,"Til þessarar greinar teljast ekki: - Elliheimili með hjúkrun, sjá 87.10 - Félagsþjónusta með gistiaðstöðu þar sem læknismeðferð eða menntun eru ekki mikilvægir þættir, sjá 87.90"
"87.30.2","87302","Q","Heimili fyrir fatlaða","Til þessarar greinar teljast: - Sambýli fyrir fatlaða - Þjónustuíbúðir - Hvíldarheimili fyrir fatlaða án hjúkrunar",,"Til þessarar greinar telst ekki: - Félagsþjónusta með gistiaðstöðu þar sem læknismeðferð eða menntun eru ekki mikilvægir þættir, sjá 87.90"
"87.90.0","87900","Q","Önnur ótalin dvalarheimili","Til þessarar greinar telst aðstoð og persónuleg umönnun einstaklinga, að undanskildum öldruðum og fötluðum, sem eru ekki færir um að sjá um sig að fullu sjálfir eða vilja ekki búa sjálfstætt.  Til þessarar greinar telst: - Sólarhrings umönnun barna og ","Til þessarar greinar telst einnig: - Áfangaheimili fyrir fólk sem glímir við félags- og persónuleg vandamál  - Áfangaheimili fyrir afbrotamenn - Unglingaheimili","Til þessarar greinar telst ekki: - Hjúkrun á dvalarheimilum, sjá 87.10 - Dvalarheimili fyrir aldraða og fatlaða, sjá 87.30 - Starfsemi á sviði ættleiðinga, sjá 88.99 - Athvarf fyrir fórnarlömb hamfara, sjá 88.99"
"88.10.0","88100","Q","Félagsþjónusta án gistiaðstöðu fyrir aldraða og fatlaða","Til þessarar greinar telst: - Félagsþjónusta, ráðgjöf, velferðarþjónusta og svipuð þjónusta við aldraða og fatlaða á heimilum þeirra eða annars staðar sem er veitt af opinberum eða einkareknum stofnunum, sjálfshjálparstofnunum og sérfræðingum sem stunda ",,"Til þessarar greinar telst ekki: - Starfsemi sem er sambærileg þeirri sem er lýst í þessari grein, en með gistingu, sjá 87.30"
"88.91.1","88911","Q","Starfsemi dagmæðra og önnur dagvistun ungbarna",,,"Til þessarar greinar telst ekki: - Fræðslustarfsemi á leikskólastigi, sjá 85.10"
"88.91.2","88912","Q","Starfsemi skóladagheimila og frístundaheimila",,,
"88.99.0","88990","Q","Önnur ótalin félagsþjónusta án dvalar á stofnun","Til þessarar greinar telst: - Félagsþjónusta, ráðgjöf, velferðarþjónusta, flóttamannahjálp og svipuð þjónusta við einstaklinga og fjölskyldur á heimilum þeirra eða annars staðar sem er veitt af opinberum eða einkareknum stofnunum og hjálparstofnunum: • ",,"Til þessarar greinar telst ekki: - Starfsemi sem er sambærileg þeirri sem er lýst í þessari grein, en með gistingu, sjá 87.90"
"90.01.0","90010","R","Sviðslistir","Til þessarar greinar teljast uppfærslur á leiksýningum, óperusýningum og listdanssýningum eða tónleikahald og annað sýningahald þar sem listamenn koma fram - Starfsemi listhópa, fjölleikaflokka eða leikhópa og hljómsveita - Starfsemi sjálfstætt starfand",,"Til þessarar greinar telst ekki: - Starfsemi umboðsmanna eða umboðsskrifstofa á sviði leiklistar eða lista, sjá 74.90 - Hlutverkaval, sjá 78.10"
