"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"22240","Prentsmíð","18130","Undirbúningur fyrir prentun"
"22250","Önnur starfsemi tengd prentiðnaði","18130","Undirbúningur fyrir prentun"
"22250","Önnur starfsemi tengd prentiðnaði","18140","Bókband og tengd þjónusta"
"22310","Fjölföldun hljóðritaðs efnis","18200","Fjölföldun upptekins efnis"
"22320","Fjölföldun myndefnis","18200","Fjölföldun upptekins efnis"
"22330","Fjölföldun tölvuefnis","18200","Fjölföldun upptekins efnis"
"23100","Koxframleiðsla","19100","Koksframleiðsla"
"25120","Sólun notaðra hjólbarða","22110","Framleiðsla á gúmmíhjólbörðum og hjólbarðaslöngum, sólun notaðra gúmmíhjólbarða"
"25130","Önnur gúmmívöruframleiðsla","22190","Framleiðsla á öðrum gúmmívörum"
"25210","Framleiðsla á plötum, rörum o.þ.h. úr plastefnum","22210","Framleiðsla á plötum, þynnum, slöngum og prófílum úr plasti"
"25220","Framleiðsla á umbúðaplasti","22229","Framleiðsla á öðru umbúðaplasti"
"25230","Framleiðsla á byggingarvörum úr plasti","22230","Framleiðsla á byggingarvörum úr plasti"
"25241","Framleiðsla á plastvörum til nota í sjávarútvegi","22221","Framleiðsla á plastvörum til nota í sjávarútvegi"
"25249","Önnur ótalin plastvöruframleiðsla","22290","Framleiðsla á öðrum plastvörum"
"26110","Framleiðsla á glerplötum","23110","Framleiðsla á flotgleri"
"26120","Skurður og vinnsla á glerplötum og rúðugleri","23120","Skurður og vinnsla á flotgleri"
"26130","Framleiðsla gleríláta","23130","Framleiðsla á glerílátum"
"26140","Glerullarframleiðsla","23140","Framleiðsla á glertrefjum"
